date,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread,spread_pct
2025-09-17 09:00:00+00:00,173.522,173.536,173.294,173.328,7612,173.51,173.523,173.28,173.316,173.534,173.548,173.306,173.34,0.02400000000000091,0.013846579894766519
2025-09-17 10:00:00+00:00,173.328,173.332,173.092,173.134,8454,173.316,173.319,173.079,173.121,173.341,173.344,173.103,173.148,0.026999999999986812,0.015594857162652522
2025-09-17 11:00:00+00:00,173.135,173.303,173.093,173.254,7836,173.121,173.292,173.08,173.242,173.149,173.315,173.106,173.265,0.022999999999996135,0.013275306775021724
2025-09-17 12:00:00+00:00,173.254,173.41,173.21,173.366,7989,173.242,173.397,173.199,173.353,173.266,173.424,173.222,173.378,0.024999999999977263,0.01442035923997627
2025-09-17 13:00:00+00:00,173.368,173.415,173.3,173.412,10313,173.356,173.403,173.288,173.398,173.379,173.428,173.312,173.425,0.027000000000015234,0.015569856757326618
2025-09-17 14:00:00+00:00,173.416,173.45,173.274,173.409,10445,173.402,173.436,173.261,173.397,173.429,173.464,173.288,173.421,0.02400000000000091,0.013840112104908577
2025-09-17 15:00:00+00:00,173.407,173.456,173.336,173.362,8133,173.396,173.443,173.325,173.349,173.418,173.469,173.348,173.375,0.02600000000001046,0.014997519640988485
2025-09-17 16:00:00+00:00,173.364,173.424,173.326,173.398,7610,173.35,173.412,173.313,173.384,173.377,173.437,173.337,173.411,0.027000000000015234,0.015571113853686452
2025-09-17 17:00:00+00:00,173.398,173.442,173.334,173.37,7420,173.383,173.429,173.317,173.317,173.412,173.454,173.349,173.424,0.10699999999999932,0.06171771356059256
2025-09-17 18:00:00+00:00,173.37,173.76,173.182,173.631,35495,173.318,173.744,173.164,173.618,173.422,173.775,173.201,173.644,0.02600000000001046,0.014974284545968438
2025-09-17 19:00:00+00:00,173.628,173.778,173.498,173.562,19333,173.615,173.765,173.485,173.549,173.64,173.79,173.512,173.574,0.025000000000005684,0.014404074624633091
2025-09-17 20:00:00+00:00,173.566,173.69,173.558,173.644,6788,173.552,173.669,173.544,173.615,173.579,173.71,173.571,173.674,0.0589999999999975,0.033977563290408824
2025-09-17 21:00:00+00:00,173.608,173.66,173.524,173.62,1739,173.549,173.612,173.468,173.57,173.667,173.712,173.567,173.669,0.09900000000001796,0.05702108052068769
